CDUID	P65	P80	SR65	SR80	ODR	S65
1001	14.33444	3.33448	79.01	50.90595	20.36435	0.76065
1002	16.95471	3.81715	89.79058	63	24.54237	0.0732
1003	17.87686	3.71029	82.44514	64.38356	25.91111	0.05895
1004	19.0499	3.95873	90.625	69.07216	28.23613	0.08028
1005	17.74217	4.17032	86.17157	63.15789	26.22567	0.14711
1006	17.93373	4.28908	82.42507	66.14583	26.97037	0.13529
1007	19.87834	4.81462	86.73884	64.53202	29.71983	0.13943
1008	20.82379	4.43145	95.20202	75	31.36539	0.15632
1009	19.56988	4.19993	90.43478	65.11628	28.96825	0.06643
1010	8.06686	1.22351	102.07254	66.66667	11.14933	0.03933
1011	6.30493	0.38212	138.46154	0	8.87097	0.00334
1101	17.28738	4.36354	92.85714	71.42857	25.90587	0.06289
1102	15.35972	4.08394	75.10981	48.71194	22.4622	0.24185
1103	17.41905	4.44214	83.59096	59.34959	26.54639	0.15621
1201	19.45364	5.58775	86.75497	63.63636	29.04222	0.05703
1202	19.22849	5.79624	78.6372	53.68421	29.25068	0.09828
1203	21.65114	5.7108	80.83141	54.47761	33.34757	0.07897
1204	22.58212	5.56569	87.45247	64.86486	34.88372	0.05005
1205	22.98131	5.82964	85.24272	58.55263	36.1912	0.09646
1206	21.56912	5.79122	85.13146	61.47059	32.89283	0.20637
1207	17.61871	4.54703	78.66109	57.42857	26.4004	0.21587
1208	14.73856	3.6285	84.56973	60.20942	21.67942	0.12608
1209	13.09412	3.40483	76.69433	53.053	18.27903	1.03355
1210	17.86415	4.58131	80.83416	55.85284	26.90205	0.18412
1211	21.81609	6.26734	81.19205	56.34921	33.92857	0.13832
1212	18.58993	5.24724	79.68254	49.6875	28.08673	0.17158
1213	25.42061	6.32445	96.66667	66.12903	40.58824	0.04186
1214	15.74863	4.03288	79.88338	48.59813	23.21294	0.06238
1215	19.97548	4.65259	84.0617	56.60377	30.97192	0.0725
1216	22.81287	5.75702	86.78414	69.84127	35.69024	0.04287
1217	19.33201	5.1762	74.46714	50.71633	29.20972	0.39726
1218	19.53619	4.70836	92.36111	62.5	30.08658	0.02811
1301	16.4533	5.14696	68.94702	45.92593	23.99048	0.2547
1302	17.83495	4.95311	76.35009	48.86364	26.64603	0.09575
1303	10.59205	2.2842	84.88746	65.33333	15.04054	0.05814
1304	24.40014	6.04366	84.98294	54.02299	38.39603	0.0547
1305	14.09603	3.3374	88.76081	64.66431	20.79848	0.19858
1306	15.99875	4.10802	83.13492	56.95364	23.67274	0.09332
1307	15.44486	4.4257	76.8375	54.10628	22.14541	0.45024
1308	19.41102	4.60546	90.76433	66.66667	28.86424	0.12103
1309	18.75711	4.74615	87.3706	61.70213	28.04576	0.18341
1310	14.65991	3.82052	80.21492	59.10064	21.22859	0.28826
1311	15.65565	4.62637	76.09148	52.12121	23.22262	0.08554
1312	17.21801	4.41745	82.49337	59.45946	25.74109	0.06936
1313	17.5932	4.60774	78.06354	55.55556	25.55966	0.11891
1314	20.41787	5.43045	79.72973	54.82456	30.52752	0.13458
1315	18.63945	4.49275	88.12459	57.91855	27.00438	0.29322
2401	18.66051	4.34238	80.07519	54.79452	26.88839	0.04823
2402	21.71978	5.22832	85.47619	58.97436	32.66416	0.07897
2403	19.09925	5.00417	79.79003	65.74074	28.15574	0.06946
2404	21.67439	5.66678	81.03448	56.81818	32.66833	0.05298
2405	22.97222	6.33333	86.29213	59.02778	35.47834	0.08362
2406	18.52945	5.24728	82.73616	64.58333	28.19361	0.05713
2407	18.97916	5.54568	82.38342	55.30303	28.57722	0.07128
2408	21.48169	5.50812	88.35341	61.74497	32.44367	0.09464
2409	19.6389	5.75441	83.66337	55.7971	29.8316	0.07523
2410	18.15954	5.08213	73.48354	48.14815	26.65512	0.20232
2411	26.30715	7.82105	83.14176	56.66667	42.60407	0.04863
2412	18.73455	5.65818	76.68038	52.94118	28.13456	0.13023
2413	20.24597	5.29846	83.66446	58.82353	31.09369	0.08422
2414	21.2172	6.42099	83.87097	58.28571	33.05545	0.09221
2415	20.75123	5.26478	82.92683	54.46429	31.58388	0.06815
2416	23.24187	6.07287	82.64706	53.77358	36.13054	0.06269
2417	20.84571	5.69747	82.54717	58.20896	31.91401	0.07806
2418	22.03086	5.87927	81.62162	53.71429	34.20428	0.10192
2419	18.30511	4.96914	88.90511	54.62555	27.90848	0.13074
2420	21.3083	3.94874	108.75912	80	32.79817	0.02892
2421	16.65902	4.20297	91.85022	64.66165	24.87874	0.08817
2422	7.60513	1.12518	112.12121	82.6087	10.78846	0.05672
2423	17.96968	5.01991	68.45011	45.72706	26.15443	2.00551
2425	13.58733	3.25001	77.72021	50	19.60489	0.38129
2426	13.98581	3.87387	84.26966	57.80347	20.61293	0.09929
2427	17.70531	4.95127	79.00262	56.55738	27.38573	0.06906
2428	21.15451	5.70882	85.71429	60.65574	32.76481	0.07381
2429	15.17798	3.89506	79.97672	58.8	22.32323	0.15642
2430	19.31803	5.18891	86.55098	59.72222	29.78871	0.08695
2431	23.15631	6.35436	77.10736	55.68182	36.44826	0.20192
2432	19.10896	4.6435	81.09756	55	29.45251	0.09029
2433	16.08873	3.74785	86.66667	56.33803	24.12048	0.09636
2434	18.68544	4.73972	83.94816	56	28.07365	0.18655
2435	25.03095	6.49954	89.44282	64.70588	39.47529	0.06542
2436	24.0811	7.5809	69.92958	48.72798	37.33932	0.24378
2437	19.52374	5.43555	72.78387	49.03581	29.11835	0.58907
2438	18.87356	5.22882	84.14634	54.07407	28.65784	0.07664
2439	17.4762	4.53515	79.6585	55.30864	26.46834	0.24469
2440	22.39767	6.70914	81.81818	58.4	36.0611	0.06683
2441	16.678	4.01088	98.91599	69.23077	24.99151	0.07442
2442	16.08552	4.08039	85.18519	51.25	24.01208	0.09646
2443	16.29032	4.77681	68.99329	45.80454	23.94694	0.50929
2444	17.29718	4.56306	87.60807	63.80952	26.78718	0.06592
2445	20.90585	4.31505	91.69027	63.67188	32.22734	0.20525
2446	18.5092	4.39582	89.58525	58.95765	28.05177	0.20819
2447	16.34486	4.05094	76.55654	54.95495	24.30707	0.28109
2448	16.93648	3.64086	94.40299	60	25.56428	0.05268
2449	16.44694	4.41828	77.3894	51.03806	24.61142	0.3282
2450	19.32187	5.48294	76.0479	48.80952	29.55384	0.08908
2451	19.36008	4.54721	88.96366	59.42029	28.89757	0.14206
2452	17.35894	3.81753	89.26702	59.5	25.85837	0.1462
2453	20.92338	5.10806	82.20701	53.07918	31.42984	0.21536
2454	16.90841	4.70634	70.86331	47.76119	25.16118	0.28806
2455	13.91146	3.64248	92.81553	65.6051	20.24465	0.1004
2456	14.91552	3.51571	82.30893	54.51056	21.80249	0.34489
2457	12.66132	2.78746	85.57994	59.26829	18.56945	0.29898
2458	16.45339	3.82739	76.12981	53.51759	24.11273	1.32788
2459	10.39427	2.00226	86.50602	52.82051	14.90941	0.15642
2460	13.93107	3.08328	81.56607	59.82721	20.06852	0.33761
2461	19.0949	5.31856	73.0057	51.45414	28.76956	0.24539
2462	20.57921	3.90783	99.51028	69.73684	31.13352	0.20606
2463	12.96044	2.51147	96.87011	64.42953	18.71083	0.12679
2464	9.45818	1.58588	87.35862	57.66667	13.38691	0.28462
2465	15.58574	4.17504	75.67719	57.04918	23.20972	1.26559
2466	15.65269	4.85401	68.39644	50.62916	22.65237	5.97125
2467	12.28828	2.5896	83.85609	64.0625	17.82488	0.40302
2468	14.61843	3.31631	89.85149	56.25	21.61172	0.07755
2469	19.31877	4.812	89.17051	66.12903	29.09414	0.08281
2470	19.79015	5.1816	74.78632	52.49406	29.75006	0.24792
